position,years_experience,multiplicator,diff
DB,1,0.9278598866798661,-0.07214011332013393
DB,2,1.0682896915967113,0.06828969159671128
DB,3,1.0663231512538032,0.06632315125380317
DB,4,1.072217770220017,0.07221777022001707
DB,5,1.0336965019676017,0.033696501967601655
DB,6,0.9751525842683987,-0.02484741573160132
DB,7,0.9673438028267877,-0.03265619717321233
DB,8,0.916049220856008,-0.08395077914399196
DB,9,0.873160162711767,-0.126839837288233
DB,10,0.7717199824789445,-0.22828001752105553
DB,11,0.7654493874136569,-0.23455061258634313
DB,12,0.7512384744710365,-0.24876152552896347
DB,13,0.8134016047081741,-0.18659839529182587
DB,14,0.7725242558088348,-0.22747574419116523
DB,15,0.39123138763494625,-0.6087686123650538
DL,1,0.9080659090738589,-0.09193409092614113
DL,2,1.0349517546629867,0.03495175466298672
DL,3,1.0937273815722355,0.09372738157223548
DL,4,1.0892366516676453,0.08923665166764527
DL,5,1.1107414745773732,0.11074147457737316
DL,6,0.9530012915904332,-0.04699870840956677
DL,7,1.0187658318475128,0.018765831847512793
DL,8,0.9503310035656203,-0.04966899643437972
DL,9,0.8260046717374648,-0.17399532826253516
DL,10,0.6915617967659504,-0.3084382032340496
DL,11,0.7423360111846841,-0.25766398881531594
DL,12,0.7650623393173789,-0.23493766068262112
DL,13,0.7932818513350008,-0.20671814866499916
DL,14,0.6888835200183577,-0.31111647998164227
DL,15,0.7330318364222945,-0.2669681635777055
DL,16,0.6291917388237571,-0.3708082611762429
DL,17,0.41922499011466985,-0.5807750098853302
LB,1,0.8967224268800659,-0.10327757311993413
LB,2,1.0264330609807744,0.02643306098077436
LB,3,1.0656504604267125,0.06565046042671252
LB,4,1.0943439342386,0.0943439342386001
LB,5,1.105063734887161,0.10506373488716103
LB,6,1.059513860473431,0.0595138604734311
LB,7,0.809420055654775,-0.19057994434522496
LB,8,0.7589670411868598,-0.24103295881314024
LB,9,0.914891988893611,-0.08510801110638899
LB,10,0.7348575392863871,-0.2651424607136129
LB,11,1.0787434774416338,0.07874347744163379
LB,12,0.5446826266103375,-0.4553173733896625
LB,13,0.6670317634173056,-0.33296823658269437
LB,14,0.17086527929901424,-0.8291347207009858
QB,1,1.1082487183678622,0.1082487183678622
QB,2,1.2420616453046869,0.24206164530468688
QB,3,0.9423182090146066,-0.05768179098539339
QB,4,0.9326797155296013,-0.06732028447039873
QB,5,0.8505943398489528,-0.14940566015104717
QB,6,1.1257361878178964,0.12573618781789642
QB,7,1.1415111780500085,0.14151117805000846
QB,8,1.0259945064514078,0.025994506451407773
QB,9,0.8189115075211347,-0.18108849247886527
QB,10,0.9465121512707992,-0.05348784872920076
QB,11,0.8585671831007892,-0.14143281689921083
QB,12,0.8125373837879573,-0.18746261621204274
QB,13,0.7607318891021804,-0.23926811089781963
QB,14,0.8392340728233351,-0.16076592717666494
QB,15,0.7127469234523327,-0.2872530765476673
QB,16,0.8749437413755079,-0.1250562586244921
QB,17,0.64084839322167,-0.35915160677833
QB,18,0.74419571544622,-0.25580428455378
QB,19,0.8346094748099264,-0.16539052519007358
QB,20,0.7803333166186581,-0.21966668338134188
QB,21,1.107208387942333,0.1072083879423329
QB,22,1.2278505897771954,0.2278505897771954
QB,23,0.8901048492791613,-0.10989515072083866
RB,1,1.113257501869631,0.1132575018696309
RB,2,1.0401520536688054,0.040152053668805365
RB,3,1.0289458402972917,0.028945840297291747
RB,4,0.9977061552922323,-0.0022938447077677226
RB,5,0.8808915309735166,-0.11910846902648342
RB,6,0.9820234803884802,-0.017976519611519803
RB,7,0.9352725118329299,-0.06472748816707008
RB,8,0.7637812778217783,-0.2362187221782217
RB,9,0.7685134440966855,-0.23148655590331446
RB,10,0.7019091808640836,-0.2980908191359164
RB,11,0.6306376506387489,-0.3693623493612511
RB,12,0.7586464094635336,-0.24135359053646643
RB,13,0.5390863265239894,-0.46091367347601064
RB,14,0.6097457887408354,-0.3902542112591646
RB,15,0.28443992870950247,-0.7155600712904975
RB,16,0.5960093008165251,-0.40399069918347486
TE,1,0.8823877540817572,-0.11761224591824282
TE,2,1.04309708229046,0.04309708229045994
TE,3,1.0879261461776992,0.08792614617769923
TE,4,1.0868295826659184,0.08682958266591845
TE,5,0.9583502221598901,-0.041649777840109925
TE,6,1.0475519890943155,0.04755198909431546
TE,7,1.1160588567577427,0.11605885675774275
TE,8,1.007551048982433,0.007551048982433084
TE,9,0.808285971460966,-0.19171402853903396
TE,10,0.8233777878416314,-0.1766222121583686
TE,11,0.780466288743714,-0.21953371125628596
TE,12,0.9024182012036038,-0.09758179879639617
TE,13,0.6173161635284214,-0.38268383647157855
TE,14,0.6462953166301206,-0.35370468336987937
TE,15,0.7707043327600686,-0.22929566723993144
TE,16,0.5057727424829102,-0.49422725751708985
TE,17,0.616348088067939,-0.38365191193206105
TE,18,0.1888579717009058,-0.8111420282990942
WR,1,0.9588184116191025,-0.04118158838089747
WR,2,1.1433703043997092,0.14337030439970921
WR,3,1.0084437154310673,0.008443715431067256
WR,4,1.0082045379647544,0.0082045379647544
WR,5,1.0898669800727228,0.08986698007272276
WR,6,0.9739031516918559,-0.02609684830814407
WR,7,0.906480404905178,-0.093519595094822
WR,8,0.8355202162084661,-0.16447978379153394
WR,9,0.7903152377312374,-0.20968476226876265
WR,10,0.7275784213128508,-0.2724215786871492
WR,11,0.6491352598222548,-0.35086474017774516
WR,12,0.7431584285263506,-0.2568415714736494
WR,13,0.7530114848006201,-0.24698851519937992
WR,14,0.6825513004438367,-0.3174486995561633
WR,15,0.529610686081798,-0.47038931391820205
WR,16,0.840063368518933,-0.15993663148106696
WR,17,0.47780379866719475,-0.5221962013328052
