"player_id","pfr_id","player_name","recent_team","position","games","fantasy_points_ppr","season","ppr_per_game","ppr_rank","ppr_finish_12","ppr_finish_24","ppr_finish_36","ppr_finish_48","ppr_finish_3","ppr_finish_6"
"00-0005755","GarcJe00","J.Garcia","SF","QB",16,339.82,2000,21.23875,1,1,1,1,1,1,1
"00-0003739","CulpDa00","D.Culpepper","MIN","QB",16,339.16,2000,21.1975,2,1,1,1,1,1,1
"00-0010346","MannPe00","P.Manning","IND","QB",16,293.82,2000,18.36375,3,1,1,1,1,1,1
"00-0011022","McNaDo00","D.McNabb","PHI","QB",16,291.6,2000,18.225,4,1,1,1,1,0,1
"00-0005741","GannRi00","R.Gannon","LV","QB",16,287.22,2000,17.95125,5,1,1,1,1,0,1
"00-0006300","GrbaEl00","E.Grbac","KC","QB",14,227.12,2000,16.2228571428571,6,1,1,1,1,0,1
"00-0002110","BrunMa00","M.Brunell","JAX","QB",16,227,2000,14.1875,7,1,1,1,1,0,0
"00-0009266","KingSh00","S.King","TB","QB",16,217.36,2000,13.585,8,1,1,1,1,0,0
"00-0003292","CollKe00","K.Collins","NYG","QB",16,215.54,2000,13.47125,9,1,1,1,1,0,0
"00-0005106","FavrBr00","B.Favre","GB","QB",16,203.36,2000,12.71,10,1,1,1,1,0,0
"00-0001361","BledDr00","D.Bledsoe","NE","QB",16,191.68,2000,11.98,11,1,1,1,1,0,0
"00-0001218","BeueSt00","S.Beuerlein","CAR","QB",16,189.34,2000,11.83375,12,1,1,1,1,0,0
"00-0017200","WarnKu00","K.Warner","LA","QB",11,185.02,2000,16.82,13,0,1,1,1,0,0
"00-0016193","TestVi00","V.Testaverde","NYJ","QB",16,184.88,2000,11.555,14,0,1,1,1,0,0
"00-0006423","GrieBr00","B.Griese","DEN","QB",10,183.74,2000,18.374,15,0,1,1,1,0,0
"00-0015700","StewKo00","K.Stewart","PIT","QB",15,179.68,2000,11.9786666666667,16,0,1,1,1,0,0
"00-0011024","McNaSt00","S.McNair","TEN","QB",16,172.58,2000,10.78625,17,0,1,1,1,0,0
"00-0000865","BatcCh00","C.Batch","DET","QB",15,148.66,2000,9.91066666666667,18,0,1,1,1,0,0
"00-0009311","KitnJo00","J.Kitna","SEA","QB",15,143.62,2000,9.57466666666667,19,0,1,1,1,0,0
"00-0006355","GreeTr00","T.Green","LA","QB",8,143.18,2000,17.8975,20,0,1,1,1,0,0
"00-0008612",NA,"R.Johnson","BUF","QB",11,140.84,2000,12.8036363636364,21,0,1,1,1,0,0
"00-0005180","FiedJa00","J.Fiedler","MIA","QB",14,138.52,2000,9.89428571428572,22,0,1,1,1,0,0
"00-0001335","BlakJe00","J.Blake","NO","QB",11,137.66,2000,12.5145454545455,23,0,1,1,1,0,0
"00-0013042","PlumJa00","J.Plummer","ARI","QB",14,132.38,2000,9.45571428571428,24,0,1,1,1,0,0
"00-0011044","McNoCa00","C.McNown","CHI","QB",10,125.3,2000,12.53,25,0,0,1,1,0,0
"00-0008442","JohnBr00","B.Johnson","WAS","QB",12,119.36,2000,9.94666666666667,26,0,0,1,1,0,0
"00-0005363","FlutDo00","D.Flutie","BUF","QB",10,112.14,2000,11.214,27,0,0,1,1,0,0
"00-0001823","BrooAa00","A.Brooks","NO","QB",8,110.76,2000,13.845,28,0,0,1,1,0,0
"00-0002876","ChanCh00","C.Chandler","ATL","QB",14,109.68,2000,7.83428571428571,29,0,0,1,1,0,0
"00-0005589","FrerGu00","G.Frerotte","DEN","QB",9,97.04,2000,10.7822222222222,30,0,0,1,1,0,0
"00-0004293","DilfTr00","T.Dilfer","BAL","QB",9,90.12,2000,10.0133333333333,31,0,0,1,1,0,0
"00-0000722","BankTo00","T.Banks","BAL","QB",11,85.22,2000,7.74727272727273,32,0,0,1,1,0,0
"00-0009715","LeafRy00","R.Leaf","LAC","QB",10,76.56,2000,7.656,33,0,0,1,1,0,0
"00-0003535","CoucTi00","T.Couch","CLE","QB",7,73.86,2000,10.5514285714286,34,0,0,1,1,0,0
"00-0005885","GeorJe00","J.George","WAS","QB",6,73.76,2000,12.2933333333333,35,0,0,1,1,0,0
"00-0006808","HarbJi00","J.Harbaugh","LAC","QB",7,65.66,2000,9.38,36,0,0,1,1,0,0
"00-0003761","CunnRa00","R.Cunningham","DAL","QB",6,64.5,2000,10.75,37,0,0,0,1,0,0
"00-0000104","AikmTr00","T.Aikman","DAL","QB",11,63.94,2000,5.81272727272727,38,0,0,0,1,0,0
"00-0015082","SmitAk00","A.Smith","CIN","QB",11,53.54,2000,4.86727272727273,39,0,0,0,1,0,0
"00-0011434","MitcSc00","S.Mitchell","CIN","QB",8,41.04,2000,5.13,40,0,0,0,1,0,0
