season,player_id,player_display_name,position,category,rank,points,finish_3,finish_6,finish_12,finish_24,finish_36,finish_48
2004,00-0003739,Daunte Culpepper,QB,fantasy_points,1,373.28000000000003,1,1,1,1,1,1
2004,00-0010346,Peyton Manning,QB,fantasy_points,2,360.08,1,1,1,1,1,1
2004,00-0019647,Shaun Alexander,RB,fantasy_points,1,300.6,1,1,1,1,1,1
2004,00-0000745,Tiki Barber,RB,fantasy_points,2,295.6,1,1,1,1,1,1
2004,00-0011022,Donovan McNabb,QB,fantasy_points,3,291,1,1,1,1,1,1
2004,00-0020536,LaDainian Tomlinson,RB,fantasy_points,3,283.12,1,1,1,1,1,1
2004,00-0010442,Curtis Martin,RB,fantasy_points,4,278.2,0,1,1,1,1,1
2004,00-0006355,Trent Green,QB,fantasy_points,4,260.14,0,1,1,1,1,1
2004,00-0013042,Jake Plummer,QB,fantasy_points,5,255.76000000000002,0,1,1,1,1,1
2004,00-0005106,Brett Favre,QB,fantasy_points,6,255.12,0,1,1,1,1,1
2004,00-0008241,Edgerrin James,RB,fantasy_points,5,255.10000000000002,0,1,1,1,1,1
2004,00-0021979,Domanick Williams,RB,fantasy_points,6,253.60000000000002,0,1,1,1,1,1
2004,00-0004161,Jake Delhomme,QB,fantasy_points,7,248.54000000000002,0,0,1,1,1,1
2004,00-0004304,Corey Dillon,RB,fantasy_points,7,245.8,0,0,1,1,1,1
2004,00-0001823,Aaron Brooks,QB,fantasy_points,8,243.8,0,0,1,1,1,1
2004,00-0020531,Drew Brees,QB,fantasy_points,9,240.66,0,0,1,1,1,1
2004,00-0011795,Muhsin Muhammad,WR,fantasy_points,1,236,1,1,1,1,1,1
2004,00-0019599,Marc Bulger,QB,fantasy_points,10,235.46,0,0,1,1,1,1
2004,00-0019596,Tom Brady,QB,fantasy_points,11,224.48,0,0,1,1,1,1
2004,00-0020245,Mike Vick,QB,fantasy_points,12,218.72,0,0,1,1,1,1
2004,00-0020407,Rudi Johnson,RB,fantasy_points,8,217.8,0,0,1,1,1,1
2004,00-0007091,Matt Hasselbeck,QB,fantasy_points,13,208.28,0,0,0,1,1,1
2004,00-0007744,Joe Horn,WR,fantasy_points,2,207.9,1,1,1,1,1,1
2004,00-0021153,Javon Walker,WR,fantasy_points,3,206.2,1,1,1,1,1,1
2004,00-0022178,Willis McGahee,RB,fantasy_points,9,203.70000000000002,0,0,1,1,1,1
2004,00-0021216,Brian Westbrook,RB,fantasy_points,10,203.5,0,0,1,1,1,1
2004,00-0020608,David Carr,QB,fantasy_points,14,203.14000000000001,0,0,0,1,1,1
2004,00-0012478,Terrell Owens,WR,fantasy_points,4,201.5,0,1,1,1,1,1
2004,00-0007024,Marvin Harrison,WR,fantasy_points,5,199.3,0,1,1,1,1,1
2004,00-0019976,Drew Bennett,WR,fantasy_points,6,196.94,0,1,1,1,1,1
2004,00-0007681,Torry Holt,WR,fantasy_points,7,195.20000000000002,0,0,1,1,1,1
2004,00-0007661,Priest Holmes,RB,fantasy_points,11,193.9,0,0,1,1,1,1
2004,00-0021179,Clinton Portis,RB,fantasy_points,12,193.6,0,0,1,1,1,1
2004,00-0020498,Reggie Wayne,WR,fantasy_points,8,192.6,0,0,1,1,1,1
2004,00-0019610,Reuben Droughns,RB,fantasy_points,13,190.10000000000002,0,0,0,1,1,1
2004,00-0004640,Warrick Dunn,RB,fantasy_points,14,190,0,0,0,1,1,1
2004,00-0006305,Ahman Green,RB,fantasy_points,15,188.6,0,0,0,1,1,1
2004,00-0022177,Byron Leftwich,QB,fantasy_points,15,187.74,0,0,0,1,1,1
2004,00-0021141,Joey Harrington,QB,fantasy_points,16,187.38,0,0,0,1,1,1
2004,00-0020397,Chad Johnson,WR,fantasy_points,9,185.3,0,0,1,1,1,1
2004,00-0003292,Kerry Collins,QB,fantasy_points,17,181.4,0,0,0,1,1,1
2004,00-0001215,Jerome Bettis,RB,fantasy_points,16,181.1,0,0,0,1,1,1
2004,00-0013013,Michael Pittman,RB,fantasy_points,17,179.70000000000002,0,0,0,1,1,1
2004,00-0019641,Thomas Jones,RB,fantasy_points,18,177.5,0,0,0,1,1,1
2004,00-0020527,Deuce McAllister,RB,fantasy_points,19,176.20000000000002,0,0,0,1,1,1
2004,00-0021547,Antonio Gates,TE,fantasy_points,1,174.4,1,1,1,1,1,1
2004,00-0004541,Donald Driver,WR,fantasy_points,10,173.20000000000002,0,0,1,1,1,1
2004,00-0016193,Vinny Testaverde,QB,fantasy_points,18,172.52,0,0,0,1,1,1
2004,00-0016098,Fred Taylor,RB,fantasy_points,20,170.9,0,0,0,1,1,1
2004,00-0006101,Tony Gonzalez,TE,fantasy_points,2,168.3,1,1,1,1,1,1
2004,00-0019559,Chad Pennington,QB,fantasy_points,19,167.52,0,0,0,1,1,1
2004,00-0021999,Nate Burleson,WR,fantasy_points,11,167.5,0,0,1,1,1,1
2004,00-0022924,Ben Roethlisberger,QB,fantasy_points,20,167.24,0,0,0,1,1,1
2004,00-0015754,Brandon Stokley,WR,fantasy_points,12,165.70000000000002,0,0,1,1,1,1
2004,00-0022782,Kevin Jones,RB,fantasy_points,21,165.3,0,0,0,1,1,1
