"position" "round" "top3" "top6" "top12" "top24" "top36" "top48" "total" "hr_3" "hr_6" "hr_12" "hr_24" "hr_36" "hr_48" "years"
"QB" 1 10 15 11 18 26 28 29 0.344827586206897 0.517241379310345 0.379310344827586 0.620689655172414 0.896551724137931 0.96551724137931 10
"QB" 2 2 2 2 5 6 6 7 0.285714285714286 0.285714285714286 0.285714285714286 0.714285714285714 0.857142857142857 0.857142857142857 10
"QB" 3 0 0 0 1 6 6 9 0 0 0 0.111111111111111 0.666666666666667 0.666666666666667 10
"QB" 4 1 1 1 1 2 6 14 0.0714285714285714 0.0714285714285714 0.0714285714285714 0.0714285714285714 0.142857142857143 0.428571428571429 10
"QB" 5 0 0 0 0 1 4 6 0 0 0 0 0.166666666666667 0.666666666666667 10
"QB" 6 0 0 0 1 2 6 12 0 0 0 0.0833333333333333 0.166666666666667 0.5 10
"QB" 7 0 0 0 0 1 1 7 0 0 0 0 0.142857142857143 0.142857142857143 10
"QB" 8 0 0 0 2 6 11 25 0 0 0 0.08 0.24 0.44 10
"RB" 1 6 8 8 9 10 11 12 0.5 0.666666666666667 0.666666666666667 0.75 0.833333333333333 0.916666666666667 10
"RB" 2 6 7 9 17 19 23 24 0.25 0.291666666666667 0.375 0.708333333333333 0.791666666666667 0.958333333333333 10
"RB" 3 2 5 7 14 18 21 26 0.0769230769230769 0.192307692307692 0.269230769230769 0.538461538461538 0.692307692307692 0.807692307692308 10
"RB" 4 3 4 4 7 16 19 35 0.0857142857142857 0.114285714285714 0.114285714285714 0.2 0.457142857142857 0.542857142857143 10
"RB" 5 1 1 3 5 6 11 26 0.0384615384615385 0.0384615384615385 0.115384615384615 0.192307692307692 0.230769230769231 0.423076923076923 10
"RB" 6 0 0 1 4 5 7 26 0 0 0.0384615384615385 0.153846153846154 0.192307692307692 0.269230769230769 10
"RB" 7 0 0 1 1 2 2 20 0 0 0.05 0.05 0.1 0.1 10
"RB" 8 1 1 4 8 19 27 141 0.00709219858156028 0.00709219858156028 0.0283687943262411 0.0567375886524823 0.134751773049645 0.191489361702128 10
"TE" 1 0 5 8 9 9 9 9 0 0.555555555555556 0.888888888888889 1 1 1 10
"TE" 2 1 1 5 11 12 13 16 0.0625 0.0625 0.3125 0.6875 0.75 0.8125 10
"TE" 3 3 4 6 9 14 17 24 0.125 0.166666666666667 0.25 0.375 0.583333333333333 0.708333333333333 10
"TE" 4 1 1 2 4 10 13 19 0.0526315789473684 0.0526315789473684 0.105263157894737 0.210526315789474 0.526315789473684 0.684210526315789 10
"TE" 5 1 1 1 4 6 9 17 0.0588235294117647 0.0588235294117647 0.0588235294117647 0.235294117647059 0.352941176470588 0.529411764705882 10
"TE" 6 0 0 0 2 5 6 14 0 0 0 0.142857142857143 0.357142857142857 0.428571428571429 10
"TE" 7 0 0 0 0 1 2 11 0 0 0 0 0.0909090909090909 0.181818181818182 10
"TE" 8 2 3 7 11 19 28 116 0.0172413793103448 0.0258620689655172 0.0603448275862069 0.0948275862068965 0.163793103448276 0.241379310344828 10
"WR" 1 8 11 10 17 22 24 36 0.222222222222222 0.305555555555556 0.277777777777778 0.472222222222222 0.611111111111111 0.666666666666667 10
"WR" 2 5 8 9 17 21 25 43 0.116279069767442 0.186046511627907 0.209302325581395 0.395348837209302 0.488372093023256 0.581395348837209 10
"WR" 3 4 5 6 9 11 14 34 0.117647058823529 0.147058823529412 0.176470588235294 0.264705882352941 0.323529411764706 0.411764705882353 10
"WR" 4 1 1 0 1 3 4 36 0.0277777777777778 0.0277777777777778 0 0.0277777777777778 0.0833333333333333 0.111111111111111 10
"WR" 5 2 2 3 4 5 7 33 0.0606060606060606 0.0606060606060606 0.0909090909090909 0.121212121212121 0.151515151515152 0.212121212121212 10
"WR" 6 0 0 0 0 0 3 36 0 0 0 0 0 0.0833333333333333 10
"WR" 7 0 0 0 0 0 0 31 0 0 0 0 0 0 10
"WR" 8 0 0 1 7 11 19 200 0 0 0.005 0.035 0.055 0.095 10
"QB" 1 17 27 28 43 57 59 60 0.283333333333333 0.45 0.466666666666667 0.716666666666667 0.95 0.983333333333333 20
"QB" 2 2 3 4 9 14 16 19 0.105263157894737 0.157894736842105 0.210526315789474 0.473684210526316 0.736842105263158 0.842105263157895 20
"QB" 3 1 2 3 7 14 17 22 0.0454545454545455 0.0909090909090909 0.136363636363636 0.318181818181818 0.636363636363636 0.772727272727273 20
"QB" 4 2 2 2 3 6 10 20 0.1 0.1 0.1 0.15 0.3 0.5 20
"QB" 5 0 0 0 0 4 10 15 0 0 0 0 0.266666666666667 0.666666666666667 20
"QB" 6 0 1 2 3 7 13 26 0 0.0384615384615385 0.0769230769230769 0.115384615384615 0.269230769230769 0.5 20
"QB" 7 0 0 3 3 5 6 18 0 0 0.166666666666667 0.166666666666667 0.277777777777778 0.333333333333333 20
"QB" 8 9 15 23 41 63 82 122 0.0737704918032787 0.122950819672131 0.188524590163934 0.336065573770492 0.516393442622951 0.672131147540984 20
"RB" 1 13 19 25 34 38 39 41 0.317073170731707 0.463414634146341 0.609756097560976 0.829268292682927 0.926829268292683 0.951219512195122 20
"RB" 2 10 11 13 27 30 36 44 0.227272727272727 0.25 0.295454545454545 0.613636363636364 0.681818181818182 0.818181818181818 20
"RB" 3 4 8 11 23 29 32 48 0.0833333333333333 0.166666666666667 0.229166666666667 0.479166666666667 0.604166666666667 0.666666666666667 20
"RB" 4 3 7 9 16 30 35 65 0.0461538461538462 0.107692307692308 0.138461538461538 0.246153846153846 0.461538461538462 0.538461538461538 20
"RB" 5 1 2 4 9 13 18 41 0.024390243902439 0.0487804878048781 0.0975609756097561 0.219512195121951 0.317073170731707 0.439024390243902 20
"RB" 6 0 0 2 6 7 11 47 0 0 0.0425531914893617 0.127659574468085 0.148936170212766 0.234042553191489 20
"RB" 7 1 1 4 6 7 11 48 0.0208333333333333 0.0208333333333333 0.0833333333333333 0.125 0.145833333333333 0.229166666666667 20
"RB" 8 9 16 31 57 84 108 390 0.0230769230769231 0.041025641025641 0.0794871794871795 0.146153846153846 0.215384615384615 0.276923076923077 20
"TE" 1 4 12 18 19 19 19 19 0.210526315789474 0.631578947368421 0.947368421052632 1 1 1 20
