position,draft_round,category,finish_3,finish_6,finish_12,finish_24,finish_36,finish_48,total
CB,1,fantasy_points_123,0.12,0.17,0.34,0.51,0.63,0.76,41
CB,1,fantasy_points_bigplays,0.07,0.17,0.29,0.51,0.63,0.8,41
CB,1,fantasy_points_tackles,0.12,0.2,0.39,0.56,0.66,0.73,41
CB,2,fantasy_points_123,0.07,0.22,0.32,0.4,0.5,0.55,40
CB,2,fantasy_points_bigplays,0.1,0.22,0.35,0.4,0.48,0.58,40
CB,2,fantasy_points_tackles,0.1,0.25,0.32,0.45,0.5,0.5,40
CB,3,fantasy_points_123,0.06,0.11,0.11,0.29,0.37,0.43,35
CB,3,fantasy_points_bigplays,0.09,0.09,0.14,0.29,0.37,0.43,35
CB,3,fantasy_points_tackles,0.09,0.11,0.17,0.29,0.4,0.49,35
CB,4,fantasy_points_123,0.05,0.08,0.13,0.18,0.29,0.39,38
CB,4,fantasy_points_bigplays,0.05,0.05,0.11,0.16,0.29,0.34,38
CB,4,fantasy_points_tackles,0.05,0.13,0.16,0.18,0.32,0.45,38
CB,5,fantasy_points_123,0.03,0.05,0.15,0.25,0.3,0.32,40
CB,5,fantasy_points_bigplays,0.03,0.05,0.12,0.22,0.3,0.32,40
CB,5,fantasy_points_tackles,0.05,0.1,0.17,0.25,0.3,0.35,40
CB,6,fantasy_points_123,0,0.06,0.09,0.12,0.18,0.21,33
CB,6,fantasy_points_bigplays,0,0.06,0.09,0.09,0.15,0.21,33
CB,6,fantasy_points_tackles,0.03,0.09,0.09,0.15,0.15,0.24,33
CB,7,fantasy_points_123,0,0,0.03,0.12,0.15,0.15,33
CB,7,fantasy_points_bigplays,0,0,0.03,0.09,0.15,0.15,33
CB,7,fantasy_points_tackles,0.03,0.03,0.03,0.12,0.15,0.15,33
CB,8,fantasy_points_123,0.03,0.04,0.09,0.1,0.15,0.18,137
CB,8,fantasy_points_bigplays,0.03,0.03,0.07,0.12,0.15,0.18,137
CB,8,fantasy_points_tackles,0.02,0.03,0.08,0.11,0.14,0.18,137
DB,2,fantasy_points_123,1,1,1,1,1,1,2
DB,2,fantasy_points_bigplays,1,1,1,1,1,1,2
DB,2,fantasy_points_tackles,1,1,1,1,1,1,2
DB,3,fantasy_points_123,0,0,0,0,0,1,1
DB,3,fantasy_points_bigplays,0,0,0,0,0,1,1
DB,3,fantasy_points_tackles,0,0,0,0,0,1,1
DB,4,fantasy_points_123,0.5,0.5,0.5,0.5,0.5,1,2
DB,4,fantasy_points_bigplays,0.5,0.5,0.5,0.5,0.5,1,2
DB,4,fantasy_points_tackles,0.5,0.5,0.5,0.5,0.5,1,2
DB,6,fantasy_points_123,0.17,0.83,0.83,1,1,1,6
DB,6,fantasy_points_bigplays,0.17,0.83,0.83,1,1,1,6
DB,6,fantasy_points_tackles,0.17,0.83,0.83,1,1,1,6
DB,8,fantasy_points_123,0.56,0.8,1,1,1,1,25
DB,8,fantasy_points_bigplays,0.56,0.8,1,1,1,1,25
DB,8,fantasy_points_tackles,0.56,0.8,1,1,1,1,25
DT,1,fantasy_points_123,0.25,0.39,0.5,0.68,0.86,0.89,28
DT,1,fantasy_points_bigplays,0.25,0.39,0.5,0.71,0.86,0.93,28
DT,1,fantasy_points_tackles,0.25,0.32,0.5,0.71,0.82,0.89,28
DT,2,fantasy_points_123,0.1,0.14,0.14,0.33,0.43,0.52,21
DT,2,fantasy_points_bigplays,0.1,0.14,0.14,0.38,0.43,0.52,21
DT,2,fantasy_points_tackles,0.1,0.14,0.19,0.33,0.43,0.48,21
DT,3,fantasy_points_123,0.03,0.03,0.11,0.26,0.37,0.46,35
DT,3,fantasy_points_bigplays,0.03,0.06,0.14,0.23,0.37,0.46,35
DT,3,fantasy_points_tackles,0,0.06,0.11,0.26,0.37,0.46,35
DT,4,fantasy_points_123,0,0,0.08,0.15,0.27,0.38,26
DT,4,fantasy_points_bigplays,0,0,0.08,0.19,0.27,0.38,26
DT,4,fantasy_points_tackles,0,0,0.04,0.15,0.23,0.38,26
DT,5,fantasy_points_123,0,0.1,0.1,0.29,0.38,0.52,21
DT,5,fantasy_points_bigplays,0,0.05,0.1,0.29,0.48,0.52,21
DT,5,fantasy_points_tackles,0.05,0.05,0.1,0.24,0.48,0.52,21
DT,6,fantasy_points_123,0,0,0.04,0.11,0.25,0.36,28
DT,6,fantasy_points_bigplays,0,0,0.04,0.11,0.25,0.36,28
DT,6,fantasy_points_tackles,0,0,0.07,0.11,0.18,0.36,28
DT,7,fantasy_points_123,0,0,0,0.06,0.06,0.12,17
DT,7,fantasy_points_bigplays,0,0,0.06,0.06,0.06,0.12,17
DT,7,fantasy_points_tackles,0,0,0.06,0.06,0.06,0.12,17
DT,8,fantasy_points_123,0,0,0,0.02,0.09,0.17,95
DT,8,fantasy_points_bigplays,0,0,0,0.04,0.12,0.17,95
DT,8,fantasy_points_tackles,0,0,0,0.02,0.13,0.14,95
EDGE,1,fantasy_points_123,0.09,0.17,0.31,0.47,0.59,0.66,58
EDGE,1,fantasy_points_bigplays,0.1,0.16,0.29,0.48,0.57,0.66,58
EDGE,1,fantasy_points_tackles,0.09,0.1,0.26,0.45,0.53,0.62,58
EDGE,2,fantasy_points_123,0,0.02,0.12,0.24,0.27,0.43,51
EDGE,2,fantasy_points_bigplays,0,0,0.14,0.25,0.31,0.43,51
EDGE,2,fantasy_points_tackles,0.02,0.04,0.08,0.22,0.25,0.35,51
