"club_code","depth_team","FS","S","CB","SS","DE","DT","NT","OLB","ILB","C","RT","G","T","LG","RG","LT","QB","RB","P","K","LS","TE","WR","DB","DL","FB","RUSH","SAM","MLB","WLB","LB","X.....","NCB","EDGE","SLB","MIKE","WILL","RDE","LDE","ROT","LOT","HB","NKL","RCB","LCB","RE","LE","NB","RILB","LOLB","LILB","ROLB","RDT","LDT"
"ARI","1","NULL","J. Thompson (S, Active)","c(""J. Whittaker (CB, Active)"", ""C. Matthew (CB, Active)"")","NULL","J. Watt (DE, Active)","M. Dogbe (DT, Active)","G. Fotu (NT, Active)","c(""M. Golden (OLB, Active)"", ""D. Gardeck (OLB, Active)"")","c(""I. Simmons (ILB, Active)"", ""Z. Collins (ILB, Active)"")","B. Price (C, Active)","K. Beachum (RT, Active)","NULL","NULL","M. Garcia (LG, Active)","W. Hernandez (RG, Active)","J. Jones (LT, Active)","T. McSorley (QB, Active)","J. Conner (RB, Active)","NULL","NULL","NULL","T. McBride (TE, Active)","c(""A. Green (WR, Active)"", ""R. Anderson (WR, Active)"", ""M. Brown (WR, Active)"")","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"ATL","1","J. Hawkins (FS, Active)","NULL","c(""A. Terrell (CB, Active)"", ""D. Hall (CB, Active)"")","R. Grant (SS, Active)","NULL","NULL","NULL","c(""L. Carter (OLB, Active)"", ""A. Ogundeji (OLB, Active)"")","c(""R. Evans (ILB, Active)"", ""T. Andersen (ILB, Active)"")","D. Dalman (C, Active)","K. McGary (RT, Active)","NULL","NULL","M. Hennessy (LG, Active)","C. Lindstrom (RG, Active)","J. Matthews (LT, Active)","D. Ridder (QB, Active)","C. Patterson (RB, Active)","NULL","NULL","NULL","P. Hesse (TE, Active)","c(""O. Zaccheaus (WR, Active)"", ""D. London (WR, Active)"")","NULL","c(""G. Jarrett (DL, Active)"", ""A. Anderson (DL, Active)"", ""M. Dickerson (DL, Active)"")","A. Smith (FB, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"BAL","1","M. Williams (FS, Active)","NULL","c(""M. Humphrey (CB, Active)"", ""B. Stephens (CB, Active)"")","C. Clark (SS, Active)","B. Urban (DE, Active)","J. Madubuike (DT, Active)","B. Washington (NT, Active)","NULL","NULL","T. Linderbaum (C, Active)","M. Moses (RT, Active)","NULL","NULL","B. Powers (LG, Active)","K. Zeitler (RG, Active)","R. Stanley (LT, Active)","T. Huntley (QB, Active)","J. Dobbins (RB, Active)","NULL","NULL","NULL","M. Andrews (TE, Active)","c(""S. Watkins (WR, Active)"", ""D. Robinson (WR, Active)"")","NULL","NULL","P. Ricard (FB, Active)","O. Oweh (RUSH, Active)","T. Bowser (SAM, Active)","R. Smith (MLB, Active)","P. Queen (WLB, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"BUF","1","NULL","c(""J. Poyer (S, Active)"", ""D. Marlowe (S, Active)"")","c(""T. White (CB, Active)"", ""D. Jackson (CB, Active)"")","NULL","NULL","c(""T. Settle (DT, Active)"", ""E. Oliver (DT, Active)"")","NULL","NULL","NULL","M. Morse (C, Active)","S. Brown (RT, Active)","NULL","NULL","R. Saffold (LG, Active)","R. Bates (RG, Active)","D. Dawkins (LT, Active)","J. Allen (QB, Active)","D. Singletary (RB, Active)","NULL","NULL","NULL","D. Knox (TE, Active)","c(""S. Diggs (WR, Active)"", ""I. McKenzie (WR, Active)"", ""G. Davis (WR, Active)"")","NULL","NULL","R. Gilliam (FB, Active)","NULL","NULL","F. Edmunds (MLB, Active)","M. Milano (WLB, Active)","NULL","NULL","T. Johnson (NCB, Active)","c(""S. Lawson (EDGE, Active)"", ""G. Rousseau (EDGE, Active)"")","T. Dodson (SLB, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"CAR","1","J. Chinn (FS, Active)","NULL","C. Henderson (CB, Active)","X. Woods (SS, Active)","c(""B. Burns (DE, Active)"", ""Y. Gross-Matos (DE, Active)"")","c(""M. Ioannidis (DT, Active)"", ""D. Brown (DT, Active)"")","NULL","NULL","NULL","B. Bozeman (C, Active)","T. Moton (RT, Active)","NULL","NULL","B. Christensen (LG, Active)","A. Corbett (RG, Active)","I. Ekwonu (LT, Active)","S. Darnold (QB, Active)","D. Foreman (RB, Active)","NULL","NULL","NULL","c(""I. Thomas (TE, Active)"", ""T. Tremble (TE, Active)"")","c(""D. Moore (WR, Active)"", ""T. Marshall (WR, Active)"")","NULL","NULL","NULL","NULL","S. Thompson (SAM, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","D. Wilson (MIKE, Active)","F. Luvu (WILL, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"CHI","1","NULL","c(""D. Houston-Carson (S, Active)"", ""J. Brisker (S, Active)"")","c(""K. Gordon (CB, Active)"", ""J. Jones (CB, Active)"")","NULL","T. Gipson (DE, Active)","c(""M. Pennel (DT, Active)"", ""A. Blackson (DT, Active)"", ""J. Jones (DT, Active)"")","NULL","NULL","NULL","S. Mustipher (C, Active)","R. Reiff (RT, Active)","NULL","NULL","C. Whitehair (LG, Active)","L. Borom (RG, Active)","B. Jones (LT, Active)","N. Peterman (QB, Active)","D. Montgomery (RB, Active)","NULL","NULL","NULL","C. Kmet (TE, Active)","c(""D. Pettis (WR, Active)"", ""E. St. Brown (WR, Active)"")","NULL","NULL","K. Blasingame (FB, Active)","NULL","NULL","NULL","NULL","c(""J. Thomas (LB, Active)"", ""N. Morrow (LB, Active)"", ""M. Adams (LB, Active)"")","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"CIN","1","NULL","c(""V. Bell (S, Active)"", ""J. Bates (S, Active)"")","c(""E. Apple (CB, Active)"", ""C. Taylor-Britt (CB, Active)"")","NULL","NULL","B. Hill (DT, Active)","D. Reader (NT, Active)","NULL","NULL","T. Karras (C, Active)","NULL","NULL","NULL","C. Volson (LG, Active)","A. Cappa (RG, Active)","NULL","J. Burrow (QB, Active)","NULL","NULL","NULL","NULL","H. Hurst (TE, Active)","c(""T. Boyd (WR, Active)"", ""T. Higgins (WR, Active)"", ""J. Chase (WR, Active)"")","NULL","NULL","NULL","NULL","NULL","NULL","NULL","c(""G. Pratt (LB, Active)"", ""L. Wilson (LB, Active)"")","NULL","M. Hilton (NCB, Active)","NULL","NULL","NULL","NULL","C. Hendrickson (RDE, Active)","S. Hubbard (LDE, Active)","H. Adeniji (ROT, Active)","D. Smith (LOT, Active)","J. Mixon (HB, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"CLE","1","J. Johnson (FS, Active)","NULL","c(""D. Ward (CB, Active)"", ""G. Newsome (CB, Active)"")","G. Delpit (SS, Active)","c(""M. Garrett (DE, Active)"", ""A. Wright (DE, Active)"")","c(""T. Bryan (DT, Active)"", ""J. Elliott (DT, Active)"")","NULL","NULL","NULL","E. Pocic (C, Active)","J. Conklin (RT, Active)","NULL","NULL","J. Bitonio (LG, Active)","W. Teller (RG, Active)","J. Wills (LT, Active)","D. Watson (QB, Active)","N. Chubb (RB, Active)","NULL","NULL","NULL","c(""D. Njoku (TE, Active)"", ""H. Bryant (TE, Active)"")","c(""A. Cooper (WR, Active)"", ""D. Peoples-Jones (WR, Active)"")","NULL","NULL","NULL","NULL","T. Fields (SAM, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","R. Ragland (MIKE, Active)","D. Jones (WILL, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"DAL","1","NULL","c(""J. Kearse (S, Active)"", ""M. Hooker (S, Active)"", ""D. Wilson (S, Active)"")","c(""T. Diggs (CB, Active)"", ""N. Wright (CB, Active)"")","NULL","c(""D. Lawrence (DE, Active)"", ""D. Armstrong (DE, Active)"")","c(""O. Odighizuwa (DT, Active)"", ""Q. Bohanna (DT, Active)"")","NULL","NULL","NULL","T. Biadasz (C, Active)","T. Smith (RT, Active)","NULL","NULL","C. McGovern (LG, Active)","Z. Martin (RG, Active)","T. Smith (LT, Active)","R. Prescott (QB, Active)","E. Elliott (RB, Active)","NULL","NULL","NULL","D. Schultz (TE, Active)","c(""N. Brown (WR, Active)"", ""M. Gallup (WR, Active)"", ""C. Lamb (WR, Active)"")","NULL","NULL","NULL","NULL","NULL","NULL","NULL","c(""L. Vander Esch (LB, Active)"", ""M. Parsons (LB, Active)"")","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","D. Bland (NKL, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"DEN","1","J. Simmons (FS, Active)","NULL","NULL","K. Jackson (SS, Active)","c(""M. Purcell (DE, Active)"", ""D. Williams (DE, Active)"")","D. Jones (DT, Active)","NULL","NULL","c(""A. Singleton (ILB, Active)"", ""J. Jewell (ILB, Active)"")","G. Glasgow (C, Active)","W. Turner (RT, Active)","NULL","NULL","L. Wattenberg (LG, Active)","Q. Meinerz (RG, Active)","C. Fleming (LT, Active)","R. Wilson (QB, Active)","L. Murray (RB, Active)","NULL","NULL","NULL","A. Beck (TE, Active)","c(""C. Sutton (WR, Active)"", ""J. Jeudy (WR, Active)"", ""K. Hinton (WR, Active)"")","NULL","NULL","NULL","NULL","NULL","NULL","B. Browning (WLB, Active)","NULL","NULL","NULL","NULL","J. Cooper (SLB, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","D. Mathis (RCB, Active)","P. Surtain (LCB, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
