"mfl_id","player_name","gsis_id","team","pfr_id"
9706,"Chase Daniel","00-0026544","FA","DaniCh00"
9714,"Brian Hoyer","00-0026625","LVR","HoyeBr00"
10514,"Nick Bellore","00-0028292","SEA","BellNi01"
10554,"Mario Addison","00-0028339","FA","AddiMa00"
10592,"Chris Harris","00-0028224","FA","HarrCh01"
10653,"Josh Bynes","00-0028278","FA","ByneJo00"
10779,"Janoris Jenkins","00-0029681","FA",NA
10948,"Case Keenum","00-0028986","HOU","KeenCa00"
10960,"Josh Gordon","00-0029664","FA","GordJo02"
11010,"Tashaun Gipson","00-0028924","SFO","GipsTa00"
11017,"Rodney McLeod","00-0028899","CLE","McLeRo00"
11299,"Jon Bostic","00-0030064","FA","BostJo00"
11327,"Tony Jefferson","00-0030294","FA","JeffTo00"
11532,"Chris Banjo","00-0029747","FA","BanjCh00"
11555,"Cody Davis","00-0029764","NEP","DaviCo02"
11613,"Michael Thomas","00-0028908","CIN","ThomMi02"
11724,"Christian Jones","00-0031130","FA","JoneCh05"
11956,"Daniel Sorensen","00-0030665","FA","SoreDa01"
11970,"Mike Pennel","00-0030757","FA","PennMi00"
12015,"KWaun Williams","00-0031253","DEN","WillKW00"
12040,"Keith Smith","00-0030968","ATL","SmitKe03"
12075,"Shaquil Barrett","00-0031101","TBB","BarrSh00"
12083,"Denico Autry","00-0031254","TEN","AutrDe00"
12088,"Adrian Phillips","00-0031404","NEP","PhilAd00"
12126,"Mike Purcell","00-0029890","DEN","PurcMi00"
12241,"Alexander Johnson","00-0034887","FA","JohnAl01"
12252,"Anthony Harris","00-0031799","FA","HarrAn01"
12474,"TY McGill","00-0032162","SFO","McGiT.00"
12481,"Neville Hewitt","00-0031740","HOU","HewiNe00"
12486,"Dean Marlowe","00-0031870","BUF","MarlDe00"
12489,"Brandon Copeland","00-0030010","FA","CopeBr00"
12506,"Bryce Callahan","00-0031904","FA","CallBr00"
12523,"Justin Coleman","00-0031796","FA","ColeJu01"
12525,"Joe Thomas","00-0030761","FA","ThomJo04"
12589,"Troy Hill","00-0031785","FA","HillTr01"
12608,"James Winchester","00-0030615","KCC","WincJa00"
12665,"Geronimo Allison","00-0032626","FA","AlliGe01"
12797,"Matt Ioannidis","00-0032781","FA","IoanMa01"
12888,"Justin Zimmer","00-0032518","FA","ZimmJu00"
12910,"Erik Harris","00-0032320","FA","HarrEr00"
12912,"Jalen Richard","00-0033025","FA","RichJa01"
12948,"Romeo Okwara","00-0032655","DET","OkwaRo01"
12952,"Michael Pierce","00-0032574","BAL","PierMi00"
12964,"Brennan Scarlett","00-0032734","FA","ScarBr00"
12976,"Antonio Hamilton","00-0032933","ARI","HamiAn01"
12978,"CJ Goodwin","00-0031357","DAL","GoodC.00"
12979,"DeShawn Williams","00-0031795","CAR","WillDe04"
12985,"Cory Littleton","00-0032677","HOU","LittCo01"
12987,"Kerry Hyder","00-0030946","SFO","HydeKe01"
12988,"Jonathan Jones","00-0032580","NEP","JoneJo03"
12990,"Matthias Farley","00-0032496","FA","FarlMa00"
12998,"Andrew Adams","00-0032637","FA","AdamAn00"
13085,"Morgan Fox","00-0032671","LAC","FoxxMo00"
13100,"Antwaun Woods","00-0032871","FA","WoodAn02"
13124,"Cooper Rush","00-0033662","DAL","RushCo00"
13372,"Tanner Gentry","00-0033633","FA","GentTa00"
13375,"Victor Bolden","00-0033306","FA","BoldVi00"
13388,"Harvey Langi","00-0033392","FA","LangHa00"
13407,"Breon Borders","00-0033435","ATL","BordBr00"
13414,"Mike Hilton","00-0032521","CIN","HiltMi01"
13423,"Dylan Cole","00-0033765","CHI","ColeDy00"
13426,"Nicholas Morrow","00-0033445","PHI","MorrNi00"
13434,"Roy Robertson-Harris","00-0032667","JAC","RobeRo00"
13447,"Eric Wilson","00-0033336","GBP","WilsEr00"
13456,"Greg Mabin","00-0033430","CAR","MabiGr00"
13460,"Eli Ankou","00-0033598","BUF","AnkoEl00"
13468,"Charles Washington","00-0032560","FA","WashCh01"
13470,"Kenny Moore","00-0033393","IND","MoorKe03"
13479,"Michael Davis","00-0033697","LAC","DaviMi03"
13491,"Justin Hardee","00-0033770","NYJ","HardJu01"
13537,"Tashawn Bower","00-0033324","NYG","BoweTa00"
13543,"Joseph Jones","00-0033659","FA","JoneJo05"
13547,"Arthur Maulet","00-0033503","BAL","MaulAr00"
13669,"Malik Turner","00-0034867","IND","TurnMa00"
13711,"Levi Wallace","00-0034514","PIT","WallLe00"
13851,"Cody Hollister","00-0033386","TEN","HollCo00"
13862,"River Cracraft","00-0034054","MIA","CracRi00"
13868,"Mike Boone","00-0034208","HOU","BoonMi00"
13871,"Dontrell Hilliard","00-0034253","FA","HillDo00"
13873,"Tim Boyle","00-0034177","NYJ","BoylTi00"
