"mfl_id","player_name","pfr_id","gsis_id","team"
"9706","Chase Daniel",NA,"00-0026544","FA"
"9714","Brian Hoyer",NA,"00-0026625","LVR"
"10514","Nick Bellore",NA,"00-0028292","SEA"
"10554","Mario Addison",NA,"00-0028339","FA"
"10592","Chris Harris",NA,"00-0028224","FA"
"10653","Josh Bynes",NA,"00-0028278","FA"
"10779","Janoris Jenkins",NA,"00-0029681","FA"
"10948","Case Keenum",NA,"00-0028986","HOU"
"10960","Josh Gordon",NA,"00-0029664","FA"
"11010","Tashaun Gipson",NA,"00-0028924","SFO"
"11017","Rodney McLeod",NA,"00-0028899","CLE"
"11299","Jon Bostic",NA,"00-0030064","FA"
"11327","Tony Jefferson",NA,"00-0030294","FA"
"11532","Chris Banjo",NA,"00-0029747","FA"
"11555","Cody Davis",NA,"00-0029764","NEP"
"11613","Michael Thomas",NA,"00-0028908","CIN"
"11724","Christian Jones",NA,"00-0031130","FA"
"11956","Daniel Sorensen",NA,"00-0030665","FA"
"11970","Mike Pennel",NA,"00-0030757","FA"
"12015","KWaun Williams",NA,"00-0031253","DEN"
"12040","Keith Smith",NA,"00-0030968","ATL"
"12075","Shaquil Barrett",NA,"00-0031101","TBB"
"12083","Denico Autry",NA,"00-0031254","TEN"
"12088","Adrian Phillips",NA,"00-0031404","NEP"
"12126","Mike Purcell",NA,"00-0029890","DEN"
"12241","Alexander Johnson",NA,"00-0034887","FA"
"12252","Anthony Harris",NA,"00-0031799","FA"
"12474","TY McGill",NA,"00-0032162","SFO"
"12481","Neville Hewitt",NA,"00-0031740","HOU"
"12486","Dean Marlowe",NA,"00-0031870","BUF"
"12489","Brandon Copeland",NA,"00-0030010","FA"
"12506","Bryce Callahan",NA,"00-0031904","FA"
"12523","Justin Coleman",NA,"00-0031796","FA"
"12525","Joe Thomas",NA,"00-0030761","FA"
"12589","Troy Hill",NA,"00-0031785","FA"
"12608","James Winchester",NA,"00-0030615","KCC"
"12665","Geronimo Allison",NA,"00-0032626","FA"
"12797","Matt Ioannidis",NA,"00-0032781","FA"
"12888","Justin Zimmer",NA,"00-0032518","FA"
"12910","Erik Harris",NA,"00-0032320","FA"
"12912","Jalen Richard",NA,"00-0033025","FA"
"12948","Romeo Okwara",NA,"00-0032655","DET"
"12952","Michael Pierce",NA,"00-0032574","BAL"
"12964","Brennan Scarlett",NA,"00-0032734","FA"
"12976","Antonio Hamilton",NA,"00-0032933","ARI"
"12978","CJ Goodwin",NA,"00-0031357","DAL"
"12979","DeShawn Williams",NA,"00-0031795","CAR"
"12985","Cory Littleton",NA,"00-0032677","HOU"
"12987","Kerry Hyder",NA,"00-0030946","SFO"
"12988","Jonathan Jones",NA,"00-0032580","NEP"
"12990","Matthias Farley",NA,"00-0032496","FA"
"12998","Andrew Adams",NA,"00-0032637","FA"
"13085","Morgan Fox",NA,"00-0032671","LAC"
"13100","Antwaun Woods",NA,"00-0032871","FA"
"13124","Cooper Rush",NA,"00-0033662","DAL"
"13372","Tanner Gentry",NA,"00-0033633","FA"
"13375","Victor Bolden",NA,"00-0033306","FA"
"13388","Harvey Langi",NA,"00-0033392","FA"
"13407","Breon Borders",NA,"00-0033435","ATL"
"13414","Mike Hilton",NA,"00-0032521","CIN"
"13423","Dylan Cole",NA,"00-0033765","CHI"
"13426","Nicholas Morrow",NA,"00-0033445","PHI"
"13434","Roy Robertson-Harris",NA,"00-0032667","JAC"
"13447","Eric Wilson",NA,"00-0033336","GBP"
"13456","Greg Mabin",NA,"00-0033430","CAR"
"13460","Eli Ankou",NA,"00-0033598","BUF"
"13468","Charles Washington",NA,"00-0032560","FA"
"13470","Kenny Moore",NA,"00-0033393","IND"
"13479","Michael Davis",NA,"00-0033697","LAC"
"13491","Justin Hardee",NA,"00-0033770","NYJ"
"13537","Tashawn Bower",NA,"00-0033324","NYG"
"13543","Joseph Jones",NA,"00-0033659","FA"
"13547","Arthur Maulet",NA,"00-0033503","BAL"
"13669","Malik Turner",NA,"00-0034867","IND"
"13711","Levi Wallace",NA,"00-0034514","PIT"
"13851","Cody Hollister",NA,"00-0033386","TEN"
"13862","River Cracraft",NA,"00-0034054","MIA"
"13868","Mike Boone",NA,"00-0034208","HOU"
"13871","Dontrell Hilliard",NA,"00-0034253","FA"
"13873","Tim Boyle",NA,"00-0034177","NYJ"
"13879","Kyle Allen",NA,"00-0034577","BUF"
"13882","Keith Kirkwood",NA,"00-0034317","NOS"
"13884","Vyncint Smith",NA,"00-0034631","IND"
"13888","Dennis Gardeck",NA,"00-0034473","ARI"
"13906","Jason Cabinda",NA,"00-0034171","DET"
"13910","Brandon Powell",NA,"00-0034646","MIN"
"13913","Ben Niemann",NA,"00-0034296","TEN"
"13914","Tre Herndon",NA,"00-0034516","JAC"
"13915","Austin Calitro",NA,"00-0033452","FA"
"13917","JC Jackson",NA,"00-0034591","LAC"
"13918","Danny Johnson",NA,"00-0034071","WAS"
"13920","Charvarius Ward",NA,"00-0034573","SFO"
"13923","Ola Adeniyi",NA,"00-0034204","FA"
"13926","Chris Board",NA,"00-0034787","NEP"
"13927","Matt Dickerson",NA,"00-0034657","KCC"
"13929","Efe Obada",NA,"00-0031500","WAS"
"13930","Ezekiel Turner",NA,"00-0034490","ARI"
"13933","Poona Ford",NA,"00-0034234","BUF"
"13934","Brandon Facyson",NA,"00-0034545","LVR"
"13939","George Odum",NA,"00-0034091","SFO"
"13941","Taylor Stallworth",NA,"00-0034325","CAR"
"13942","JT Gray",NA,"00-0034116","NOS"
"13943","Tae Davis",NA,"00-0034500","ATL"
"13952","Frankie Luvu",NA,"00-0034302","CAR"
"13953","Tavierre Thomas",NA,"00-0034488","HOU"
"13955","AJ Moore",NA,"00-0034594","TEN"
"13956","Sean Chandler",NA,"00-0034496","FA"
"13959","Darious Williams",NA,"00-0034203","JAC"
"13963","KhaDarel Hodge",NA,"00-0034854","ATL"
"13965","Josh Tupou",NA,"00-0033347","CIN"
"13970","Tony Brown",NA,"00-0034540","IND"
"13987","Robert Spillane",NA,"00-0034720","LVR"
"13996","Grant Haley",NA,"00-0034502","FA"
"13998","Emmanuel Moseley",NA,"00-0034096","DET"
"14012","Mike Ford",NA,"00-0034639","CLE"
"14013","Chandon Sullivan",NA,"00-0034468","PIT"
"14024","Dee Delaney",NA,"00-0034515","TBB"
"14026","Joshua Kalu",NA,"00-0034662","WAS"
"14028","Ryan Neal",NA,"00-0034527","TBB"
"14037","Jalen Davis",NA,"00-0034446","CIN"
"14043","Dallin Leavitt",NA,"00-0034726","GBP"
"14045","Chris Lacy",NA,"00-0034593","LVR"
"14060","Tyree Jackson",NA,"00-0035356","PHI"
"14065","Brett Rypien",NA,"00-0034955","LAR"
"14070","David Blough",NA,"00-0035040","ARI"
"14084","Elijah Holyfield",NA,"00-0035442","FA"
"14096","Devine Ozigbo",NA,"00-0035184","DET"
"14108","Greg Dortch",NA,"00-0035500","ARI"
"14110","David Sills",NA,"00-0035359","NYG"
"14130","Antoine Wesley",NA,"00-0035126","FA"
"14319","Andrew Beck",NA,"00-0034959","HOU"
"14321","Cody Thompson",NA,"00-0035164","SEA"
"14322","TJ Edwards",NA,"00-0035386","CHI"
"14328","Andrew Wingard",NA,"00-0035378","JAC"
"14357","Kendall Blanton",NA,"00-0035603","KCC"
"14358","Jake Browning",NA,"00-0035100","CIN"
"14363","Kevin Rader",NA,"00-0034193","TEN"
"14368","Austin Walter",NA,"00-0035187","LVR"
"14370","Tanner Hudson",NA,"00-0034613","CIN"
"14377","Abdullah Anderson",NA,"00-0034587","WAS"
"14378","Jalen Dalton",NA,"00-0035179","FA"
"14379","Josh Woods",NA,"00-0034801","ARI"
"14384","Malik Reed",NA,"00-0034954","MIA"
"14400","Jonathan Ledbetter",NA,"00-0035343","ARI"
"14401","Sam Eguavoen",NA,"00-0034902","NYJ"
"14405","Carl Granderson",NA,"00-0035402","NOS"
"14411","Tevaughn Campbell",NA,"00-0034903","JAC"
"14412","Alex Singleton",NA,"00-0031898","DEN"
"14414","Jonathan Owens",NA,"00-0034485","GBP"
"14420","Alec Ingold",NA,"00-0035125","MIA"
"14434","Jeremy Reaves",NA,"00-0034465","WAS"
"14435","Reggie Bonnafon",NA,"00-0034578","FA"
"14452","Chris Lammons",NA,"00-0034145","IND"
"14467","DelShawn Phillips",NA,"00-0035202","BAL"
"14472","Tyrel Dodson",NA,"00-0035352","BUF"
"14494","Andrew Dowell",NA,"00-0035412","NOS"
"14495","Luke Gifford",NA,"00-0035413","TEN"
"14503","Tom Kennedy",NA,"00-0035544","FA"
"14506","Anthony Pittman",NA,"00-0035330","DET"
"14509","Curtis Bolton",NA,"00-0035076","LVR"
"14518","Jalen Thompson",NA,"00-0035705","ARI"
"14519","Jordan Kunaszyk",NA,"00-0035444","CLE"
"14535","Amani Bledsoe",NA,"00-0035513","FA"
