Rk,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb,EXP
1,Cleveland Browns,3,114,572,5,36,5.0,190.7,1,18.61
2,Chicago Bears,3,104,560,4,52,5.4,186.7,3,13.14
3,Detroit Lions,3,87,511,5,58,5.9,170.3,1,11.16
4,New York Giants,3,90,508,2,68,5.6,169.3,2,14.59
5,Atlanta Falcons,3,96,470,4,40,4.9,156.7,7,-4.89
6,San Francisco 49ers,3,101,453,3,51,4.5,151.0,7,-3.12
7,Philadelphia Eagles,3,103,451,6,26,4.4,150.3,2,7.69
8,Baltimore Ravens,3,72,406,2,79,5.6,135.3,3,5.91
9,Green Bay Packers,3,81,381,2,36,4.7,127.0,6,-0.61
10,Jacksonville Jaguars,3,91,370,3,50,4.1,123.3,1,-4.63
11,Cincinnati Bengals,4,117,358,1,31,3.1,89.5,5,-16.25
12,Dallas Cowboys,3,75,354,2,46,4.7,118.0,1,2.18
13,Denver Broncos,3,84,353,1,19,4.2,117.7,4,-17.68
14,New England Patriots,3,81,347,4,18,4.3,115.7,5,3.73
15,Carolina Panthers,3,73,345,2,49,4.7,115.0,8,8.56
16,Buffalo Bills,3,72,337,1,43,4.7,112.3,6,0.68
17,New Orleans Saints,3,61,335,2,57,5.5,111.7,8,-5.78
18,Arizona Cardinals,3,71,316,3,30,4.5,105.3,4,12.93
19,Indianapolis Colts,3,78,313,1,21,4.0,104.3,9,-6.82
20,Minnesota Vikings,3,64,311,2,17,4.9,103.7,3,5.43
21,Tennessee Titans,3,80,282,3,24,3.5,94.0,6,-8.50
22,Kansas City Chiefs,3,68,279,2,52,4.1,93.0,7,-5.38
23,Miami Dolphins,4,80,277,2,28,3.5,69.3,2,-1.64
24,Pittsburgh Steelers,3,66,270,2,18,4.1,90.0,4,2.77
25,Washington Commanders,3,71,260,2,21,3.7,86.7,4,-5.93
26,Tampa Bay Buccaneers,3,77,258,0,17,3.4,86.0,4,-23.73
27,New York Jets,3,57,252,0,23,4.4,84.0,7,-1.14
28,Houston Texans,3,70,249,1,24,3.6,83.0,6,-1.27
29,Las Vegas Raiders,3,53,240,0,18,4.5,80.0,6,-1.14
30,Seattle Seahawks,3,56,224,0,26,4.0,74.7,4,-3.86
31,Los Angeles Rams,3,64,217,3,20,3.4,72.3,3,-0.25
32,Los Angeles Chargers,3,67,177,0,12,2.6,59.0,2,-11.95
,Avg Team,,78.9,344.9,2.2,35,4.4,112.6,4.4,-0.5
,League Total,,2524,11036,70,79,4.4,112.6,141,
,Avg Tm/G,,25.8,112.6,0.7,,4.4,112.6,1.4,
