player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Malcolm Jenkins,4937,S,NO,1,0,0,66.7,0,0,20,79.3,83.3,78.2,55.5,75.4,77.6,0,0,0,7,0.0,0,2,0,72.9,2,0,16,6,42,61,7,0,0,7,0,19,54,3,16,13,2,3,3,0,0,11,1,5.5
Ndamukong Suh,5527,DI,TB,1,2,0,100.0,0,0,30,59.5,66.8,78.4,53.0,78.1,71.5,1,1,0,5,0.0,0,0,0,87.5,1,1,1,0,1,59,58,1,31,1,25,0,1,38,20,0,3,2,1,3,0,5,2,5.0
Joe Haden,5532,CB,PIT,1,1,0,66.7,0,0,25,72.5,74.5,76.6,,73.6,77.0,0,0,0,12,0.0,0,1,0,85.4,2,0,8,51,37,59,0,0,0,0,0,0,59,0,22,0,1,2,3,0,0,20,7,10.0
Jason Pierre-Paul,5540,ED,TB,1,2,2,,0,0,30,64.2,53.6,80.6,58.9,45.4,74.4,0,3,0,,0.0,0,0,0,0.0,0,0,0,0,6,68,68,0,0,68,0,0,0,39,23,0,1,2,0,3,0,0,0,
Kareem Jackson,5545,S,DEN,1,0,0,,0,0,10,67.4,63.0,82.5,,43.0,43.4,0,0,0,,22.2,2,0,0,0.0,0,0,9,1,47,69,0,0,0,0,0,46,69,0,22,13,0,7,0,0,0,0,0,
Devin McCourty,5552,S,NE,1,2,0,0.0,0,0,19,75.6,80.2,75.8,,64.9,81.0,0,0,0,,0.0,0,2,0,39.6,0,0,11,0,40,60,0,0,0,0,0,45,60,0,20,4,0,1,2,0,0,0,0,
Jerry Hughes,5556,ED,BUF,1,0,0,,0,1,4,60.8,79.4,0.0,90.4,53.0,27.7,2,3,0,,,0,0,1,0.0,0,1,1,0,3,43,41,0,0,41,0,0,2,26,14,1,1,0,0,6,0,0,0,
Linval Joseph,5571,DI,LAC,1,2,0,,0,0,27,,80.2,79.0,76.2,71.3,72.2,0,1,0,,0.0,0,0,0,0.0,0,0,0,0,0,58,58,28,30,0,0,0,0,25,33,0,3,7,0,1,0,0,0,
Carlos Dunlap,5579,ED,SEA,1,0,2,,0,0,29,60.0,76.8,80.1,69.1,71.0,69.6,1,5,0,,0.0,0,0,0,0.0,0,0,0,0,1,39,39,0,0,39,0,0,0,34,4,0,1,1,0,6,0,0,0,
Everson Griffen,5624,ED,MIN,1,0,0,,0,0,18,60.0,59.6,15.3,72.3,44.4,27.8,1,2,0,,100.0,1,0,1,0.0,0,1,0,0,1,60,60,0,0,51,9,0,0,43,16,0,1,0,0,4,0,0,0,
