player,player_id,position,team_name,player_game_count,declined_penalties,fifty_attempts,fifty_made,fifty_percent,forty_attempts,forty_made,forty_percent,franchise_id,grades_fgep_kicker,one_attempts,one_made,one_percent,pat_attempts,pat_made,pat_percent,penalties,thirty_attempts,thirty_made,thirty_percent,total_attempts,total_made,total_percent,twenty_attempts,twenty_made,twenty_percent
Robbie Gould,2607,K,SF,1,0,0,0,,1,1,100.0,28,66.3,0,0,,2,2,100.0,0,0,0,,1,1,100.0,0,0,
Matt Prater,3471,K,ARZ,1,0,1,1,100.0,0,0,,1,86.4,0,0,,4,4,100.0,0,0,0,,2,2,100.0,1,1,100.0
Nick Folk,3794,K,NE,1,0,0,0,,2,2,100.0,19,55.7,0,0,,2,1,50.0,0,1,1,100.0,4,4,100.0,1,1,100.0
Mason Crosby,3809,K,GB,1,0,0,0,,0,0,,12,65.3,0,0,,5,5,100.0,0,0,0,,0,0,,0,0,
Ryan Succop,5180,K,TB,1,0,0,0,,0,0,,30,52.2,0,0,,7,6,85.7,0,0,0,,0,0,,0,0,
Graham Gano,5443,K,NYG,1,0,2,2,100.0,1,1,100.0,21,85.7,0,0,,2,2,100.0,0,1,1,100.0,5,5,100.0,1,1,100.0
Randy Bullock,7154,K,TEN,1,0,0,0,,1,0,0.0,31,61.5,0,0,,3,3,100.0,0,3,3,100.0,5,4,80.0,1,1,100.0
Greg Zuerlein,7163,K,DAL,1,0,1,1,100.0,0,0,,9,83.0,0,0,,2,2,100.0,0,1,1,100.0,2,2,100.0,0,0,
Justin Tucker,7604,K,BLT,1,0,0,0,,1,1,100.0,3,66.3,0,0,,3,3,100.0,0,0,0,,1,1,100.0,0,0,
Dustin Hopkins,7958,K,WAS,1,0,0,0,,2,2,100.0,32,59.4,0,0,,3,3,100.0,0,1,1,100.0,3,3,100.0,0,0,
Brandon McManus,8437,K,DEN,1,0,0,0,,2,2,100.0,10,68.6,0,0,,2,2,100.0,0,1,1,100.0,3,3,100.0,0,0,
Cairo Santos,8932,K,CHI,1,0,0,0,,0,0,,6,63.4,0,0,,2,2,100.0,0,0,0,,2,2,100.0,2,2,100.0
Chris Boswell,8990,K,PIT,1,0,1,1,100.0,0,0,,25,73.9,0,0,,2,2,100.0,0,0,0,,1,1,100.0,0,0,
Josh Lambo,10133,K,JAX,1,0,1,0,0.0,1,0,0.0,15,35.3,0,0,,1,1,100.0,0,0,0,,2,0,0.0,0,0,
Jason Myers,10207,K,SEA,1,0,0,0,,0,0,,29,40.9,0,0,,4,3,75.0,0,1,1,100.0,1,1,100.0,0,0,
Aldrick Rosas,11331,K,NO,1,0,0,0,,0,0,,20,60.4,0,0,,1,1,100.0,0,0,0,,0,0,,0,0,
Jake Elliott,11908,K,PHI,1,0,0,0,,2,1,50.0,24,61.2,0,0,,0,0,,0,0,0,,2,1,50.0,0,0,
Zane Gonzalez,11979,K,CAR,1,0,1,0,0.0,1,1,100.0,5,49.8,0,0,,3,2,66.7,0,0,0,,3,2,66.7,1,1,100.0
Harrison Butker,11988,K,KC,1,0,0,0,,0,0,,16,65.3,0,0,,5,5,100.0,0,0,0,,0,0,,0,0,
Younghoe Koo,12042,K,ATL,1,0,0,0,,0,0,,2,63.8,0,0,,2,2,100.0,0,1,1,100.0,1,1,100.0,0,0,
Tristan Vizcaino,13076,K,LAC,1,0,0,0,,2,1,50.0,27,51.6,0,0,,0,0,,0,1,1,100.0,4,3,75.0,1,1,100.0
Austin Seibert,13701,K,DET,1,0,0,0,,1,1,100.0,11,65.5,0,0,,2,2,100.0,0,0,0,,1,1,100.0,0,0,
Greg Joseph,22842,K,MIN,1,0,2,2,100.0,0,0,,18,38.5,0,0,,4,3,75.0,0,1,0,0.0,3,2,66.7,0,0,
Daniel Carlson,28121,K,LV,1,0,0,0,,3,3,100.0,23,71.4,0,0,,2,2,100.0,0,1,1,100.0,4,4,100.0,0,0,
Tyler Bass,33010,K,BUF,1,0,1,0,0.0,0,0,,4,54.8,0,0,,5,5,100.0,0,0,0,,1,0,0.0,0,0,
Chase McLaughlin,33285,K,CLV,1,0,0,0,,0,0,,8,65.1,0,0,,4,4,100.0,0,1,1,100.0,1,1,100.0,0,0,
Rodrigo Blankenship,34038,K,IND,1,0,0,0,,2,2,100.0,14,70.4,0,0,,1,1,100.0,0,1,1,100.0,3,3,100.0,0,0,
Matt Ammendola,34039,K,NYJ,1,0,1,0,0.0,0,0,,22,49.6,0,0,,0,0,,0,1,1,100.0,3,2,66.7,1,1,100.0
Joey Slye,39235,K,HST,1,0,0,0,,1,0,0.0,13,63.5,0,0,,3,3,100.0,0,0,0,,1,0,0.0,0,0,
Matt Gay,57643,K,LA,1,0,0,0,,0,0,,26,65.6,0,0,,3,3,100.0,0,2,2,100.0,2,2,100.0,0,0,
Evan McPherson,82583,K,CIN,1,0,1,1,100.0,0,0,,7,68.4,0,0,,2,2,100.0,0,0,0,,1,1,100.0,0,0,
