player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards
Andy Lee,1906,P,ARZ,1,4,4,4.29,37.0,49.75,12.8,0,0,0,0,1,59.7,0,55,0,0,100.0,51,4,4,17.14,148,0,199
Dustin Colquitt,2316,P,ATL,1,3,3,4.31,36.67,42.0,8.0,0,0,0,1,2,58.7,1,50,0,0,66.7,16,2,3,12.93,110,0,126
Sam Koch,3148,P,BLT,1,6,6,4.23,37.33,44.0,6.7,0,0,0,1,3,62.0,2,50,1,0,50.0,20,3,6,25.37,224,1,264
Brett Kern,4580,P,TEN,1,2,2,4.28,47.0,47.0,,0,0,1,0,31,61.2,2,49,1,0,0.0,0,0,2,8.55,94,0,94
Kevin Huber,5066,P,CIN,1,4,4,3.96,39.75,54.0,18.5,0,0,0,0,7,51.8,1,60,1,0,50.0,37,2,4,15.84,159,1,216
Thomas Morstead,5088,P,NYJ,1,2,2,4.16,35.0,50.0,15.0,0,0,0,0,22,59.4,0,51,0,0,100.0,30,2,2,8.31,70,0,100
Johnny Hekker,7252,P,LA,1,1,1,3.97,41.0,41.0,,0,0,0,1,26,60.0,0,41,0,0,0.0,0,0,1,3.97,41,0,41
Sam Martin,7947,P,DEN,1,4,4,4.04,47.25,50.5,6.5,0,0,1,1,10,56.5,1,59,0,0,50.0,13,2,4,16.17,189,0,202
Pat O'Donnell,8826,P,CHI,1,4,4,4.13,24.25,40.0,43.0,0,0,0,0,6,58.1,1,50,2,0,25.0,43,1,4,16.52,97,1,160
Michael Palardy,9277,P,MIA,1,3,3,3.98,45.67,51.33,17.0,0,0,1,1,17,59.0,1,58,0,0,33.3,17,1,3,11.95,137,0,154
Bradley Pinion,9598,P,TB,1,4,4,4.46,32.0,40.25,6.5,0,0,1,0,30,59.6,1,49,0,0,50.0,13,2,4,17.82,128,1,161
Riley Dixon,10862,P,NYG,1,5,5,4.4,39.0,45.8,7.0,0,0,0,1,21,67.5,1,51,1,0,40.0,14,2,5,21.99,195,1,229
Rigoberto Sanchez,12130,P,IND,1,6,6,3.97,38.67,45.5,7.0,0,0,1,1,14,54.5,3,79,0,0,50.0,21,3,6,23.81,232,1,273
Cameron Johnston,12255,P,HST,1,7,7,4.3,42.43,49.14,13.5,0,0,3,0,13,59.5,2,69,1,0,28.6,27,2,7,30.13,297,1,344
Corey Bojorquez,27626,P,GB,1,3,3,4.5,46.33,46.33,,0,0,1,2,12,61.7,1,53,0,0,0.0,0,0,3,13.5,139,0,139
Ryan Winslow,30026,P,CAR,1,7,7,3.66,35.14,36.86,2.4,0,0,2,0,5,45.5,0,46,0,0,71.4,12,5,7,25.6,246,0,258
Tommy Townsend,33007,P,KC,1,2,2,3.73,46.5,46.5,,0,0,1,1,16,59.7,1,52,0,0,0.0,0,0,2,7.46,93,0,93
Jake Bailey,33963,P,NE,1,1,1,4.43,35.0,35.0,,0,0,0,1,19,60.0,1,35,0,0,0.0,0,0,1,4.43,35,0,35
Jack Fox,34735,P,DET,1,1,1,3.54,36.0,36.0,,0,0,1,0,11,60.0,0,36,0,0,0.0,0,0,1,3.54,36,0,36
Michael Dickson,35381,P,SEA,1,5,5,4.02,44.0,48.4,2.0,0,0,1,2,29,52.4,4,65,0,0,20.0,2,1,5,20.08,220,1,242
A.J. Cole III,36038,P,LV,1,2,2,3.76,44.0,47.0,6.0,0,0,1,0,23,60.2,1,59,0,0,50.0,6,1,2,7.52,88,0,94
Mitch Wishnowsky,44663,P,SF,1,4,4,4.16,47.0,48.25,5.0,0,0,1,0,28,62.1,1,65,2,0,25.0,5,1,4,16.65,188,0,193
Blake Gillikin,45045,P,NO,1,6,6,4.36,44.33,47.5,9.5,0,0,1,3,20,61.7,5,58,0,0,33.3,19,2,6,26.18,266,0,285
Jamie Gillan,63303,P,CLV,1,3,3,4.52,46.33,51.67,8.0,0,0,0,1,8,60.3,2,65,0,0,66.7,16,2,3,13.55,139,0,155
Arryn Siposs,82019,P,PHI,1,3,3,4.72,42.67,47.67,15.0,0,0,0,2,24,61.6,1,52,0,0,33.3,15,1,3,14.16,128,0,143
